"Id","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Download","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library","Call Number","Extra","Notes","Cover","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YUEFWVQP","webpage","","","Zotero | Groups > Humanidades Digitales","","","","","https://www.zotero.org/groups/197065/humanidades_digitales","","","2025-11-07 11:35:59","2025-11-07 11:35:59","2025-11-07 11:35:59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNNNNGLT","book","2013","Kelly, T. Mills","Teaching History in the Digital Age","","978-0-472-02913-6","","","https://muse.jhu.edu/book/22708","Although many humanities scholars have been talking and writing about the transition to the digital age for more than a decade, only in the last few years have we seen a convergence of the factors that make this transition possible: the spread of sufficient infrastructure on campuses, the creation of truly massive databases of humanities content, and a generation of students that has never known a world without easy Internet access. Teaching History in the Digital Age serves as a guide for practitioners on how to fruitfully employ the transformative changes of digital media in the research, writing, and teaching of history. T. Mills Kelly synthesizes more than two decades of research in digital history, offering practical advice on how to make best use of the results of this synthesis in the classroom and new ways of thinking about pedagogy in the digital humanities.","2013","2025-11-07 11:30:28","2025-11-07 11:30:28","2018-04-11","","","","","","","","","","","","University of Michigan Press","","English","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUK2BNBQ","book","2017","","Sustainable surfing","","978-1-138-93075-9","","","","","2017","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Routledge","Abingdon, Oxon ; New York, NY","","","","","","","","","","","","","Economic aspects; #nosource; Environmental aspects; Environmental sustainability; Surfing; Sustainability","Borne, Gregory; Ponting, Jess","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QG79PF2E","book","2012","Torrens Álvarez, María Jesús; Pedro, Sánchez-Prieto Borja,","Nuevas perspectivas para la edición y el estudio de documentos hispánicos antiguos","","","","","http://www.peterlang.com/download/toc/65496/toc_431142.pdf","","2012","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Peter Lang","Bern","","","","","","","","","","","","","#nosource; Edición digital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPSJMJNI","book","2014","Marqués, María Pérez","Minería de Datos a través de ejemplos","","978-84-941801-4-9","","","","Rare book","2014-03","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","RC Libros","Madrid","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1ªed., 1ª imp edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQEC2KSN","book","2008","","Literaturas del texto al hipermedia","","978-84-7658-888-8","","","","","2008","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Anthropos","Rubí","Spanish","","","","","Open WorldCat","","00006 Citation Id: RomeroLopez.SanzCabrerizo2008Literaturas","","","","","#nosource","Romero López, Dolores; Sanz Cabrerizo, Ángeles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SQW2K2U","book","2002","Lucía Megías, José Manuel","Literatura románica en Internet","","","","","","","2002","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Castalia","Madrid","Spanish","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CC3AUQMT","book","2018","","Literatura en el laboratorio. Canon, archivo y crítica literaria en la era digital","","","","","https://www.gedisa.com/ficha.aspx?idcol=240&cod=240018&titulo=Literatura-en-el-laboratorio&aut=Moretti,%20Franco#.YQg4k-3tbe1","","2018","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Gedisa","Barcelona","es","","","","","","","","","","","","#nosource","Moretti, Franco","","Rojas Castro, Antonio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMJF433K","book","2013","Scolari, Carlos A","Narrativas Transmedia: cuando todos los medios cuentan","","978-84-234-1336-2","","","","","2013","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","Narrativas Transmedia","","","","","Centro Libros PAPF, S.L.U.","Barcelona","Spanish","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FG5TG2C2","book","2011","Orihuela, José Luis","Mundo Twitter: una guía para comprender y dominar la plataforma que cambió la red","","","","","","","2011","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Alienta","Barcelona","","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
